origin_city,destination_city,weight_tons,distance_miles,price_per_ton_mile
Birmingham AL,Detroit MI,4.414103,637.2385457579535,0.52969236
Nashville TN,Savannah GA,0.032853,625.4894517776788,0.003942360000000001
Los Angeles CA,Rest of IL,4.387586,1746.8195277382142,0.52651032
Columbus OH,Rest of AL,2.208489,564.2948813865675,0.26501868
Dayton OH,Rest of IN,101.495683,8624.35935382422,12.179481960000002
Rest of KY,Denver CO,14.194266,1212.9708840463147,1.7033119200000002
Savannah GA,Rest of AL,0.10417,843.5187514705538,0.012500399999999998
Vermont,Rest of TX,0.028423,1646.4562700737276,0.00341076
West Virginia,Rest of MA,0.000105,400.04961184114114,1.2599999999999803e-05
Tucson AZ,Rest of AZ,0.003675,44.316059721640144,0.00044099999999999993
Birmingham AL,Savannah GA,2.011551,778.6542524401669,0.24138612
Rest of IL,Rest of KY,7.237771,380.7004193835336,0.8685325199999999
Rest of SC,Atlanta GA,0.000219,118.19846715455614,2.62799999999997e-05
Rest of TN,Rest of CT,0.002147,4712.782346208526,0.00025764
Birmingham AL,Rest of MI,0.349991,862.718136870338,0.04199891999999999
Rest of AZ,San Francisco CA,70.26475,796.7209415759635,8.43177
Mississippi,Atlanta GA,21.543132,313.6589286016803,2.58517584
Los Angeles CA,Columbus OH,0.259732,1977.6886261400368,0.031167839999999995
Raleigh-Durham NC,Rest of TN,0.116087,4516.198822071486,0.013930439999999999
Houston TX,Rest of MO,6.281411,631.6281387454047,0.7537693200000001
Rest of NE,Rest of UT,0.053303,10702.558177305218,0.006396359999999999
Orlando FL,Rest of NY,0.051421,943.3371939584828,0.0061705200000000005
Houston TX,Rest of TX,7.7e-05,427.8731791669677,9.23999999999981e-06
Seattle WA,Rest of NY,0.049277,2408.049169468083,0.00591324
Miami FL,Richmond VA,0.000834,9316.860264088476,0.00010007999999999996
Oklahoma City OK,Columbus OH,0.007614,852.14644743624,0.00091368
Rest of MD,Rest of NY,0.045065,181.4102578474021,0.0054078
Baltimore MD,Atlanta GA,1.425768,577.0575770360402,0.17109216
Rest of AL,Detroit MI,1.699363,724.1465461948251,0.20392355999999998
Rest of MN,San Francisco CA,0.067354,1372.7245639896662,0.00808248
Tucson AZ,Rest of OR,9.387963,968.4968450937364,1.12655556
Rest of MI,Mississippi,2.258435,1024.2704037357878,0.2710122
Rest of IL,San Francisco CA,0.080528,1861.90429724857,0.00966336
Fresno CA,Los Angeles CA,0.50266,204.4711895335981,0.06031920000000001
Charleston SC,Knoxville TN,0.003812,315.4885078589713,0.00045743999999999993
Rest of VA,Rest of NY,0.715637,213.07199973320053,0.08587644
Savannah GA,North Dakota,0.058387,1048.9528989985008,0.00700644
Los Angeles CA,Atlanta GA,21.540717,1936.6550345958728,2.5848860399999998
Mississippi,San Diego CA,0.069766,1591.429646524865,0.008371919999999998
Rest of WI,Houston TX,0.004285,1004.4862556212838,0.0005142
Rest of PA,Columbus OH,0.013323,564.2948813865675,0.00159876
Los Angeles CA,Fresno CA,8.819698,204.4711895335981,1.0583637600000002
Mississippi,Rest of CA,0.581502,987.2805772298816,0.06978023999999998
Miami FL,Rest of FL,0.168699,339.8430686614042,0.020243879999999995
Rest of MI,Baltimore MD,0.000262,174.331788278789,3.143999999999985e-05
Indianapolis IN,Rest of IN,0.00147,8660.385964169345,0.00017639999999999998
Charleston SC,Raleigh-Durham NC,0.167394,223.07294079895848,0.020087279999999996
Rest of OH,Columbus OH,0.001075,110.16293035165738,0.00012899999999999996
Rest of KS,Los Angeles CA,0.005422,1210.919465353786,0.00065064
Rest of KS,Sacramento CA,1.109582,1314.9558543630385,0.13314984
Rest of OH,Savannah GA,0.041315,185.6000815874848,0.004957799999999999
Orlando FL,Savannah GA,0.45698,1029.3079697893745,0.05483760000000001
Iowa,Rest of NY,0.020622,1007.3128318586477,0.00247464
Rochester NY,Savannah GA,0.003286,106.7478251814256,0.0003943199999999996
Milwaukee WI,Austin TX,0.033054,1034.438762958701,0.0039664800000000005
New Mexico,Arkansas,0.150842,770.112321689914,0.01810104
Rest of NY,Corpus Christi TX,0.01805,1605.7659513276103,0.0021660000000000004
Houston TX,Rest of OH,0.11373,1102.2428435845657,0.0136476
Rest of CO,Rest of NY,0.003685,1638.1005279041894,0.00044219999999999996
Orlando FL,Savannah GA,0.126821,1029.3079697893745,0.015218519999999998
Los Angeles CA,Maine,0.103823,2698.4232288639078,0.012458759999999998
Tulsa OK,Miami FL,0.050945,1176.75626994886,0.006113399999999998
Cleveland OH,Rest of OH,0.373056,30.272272794613237,0.044766719999999996
Rest of FL,Indianapolis IN,2.356643,688.7108034681751,0.28279716000000005
Hartford CT,Oklahoma City OK,0.033157,1405.99904795814,0.00397884
Wichita KS,San Francisco CA,0.184314,1369.6327755502373,0.022117679999999997
Idaho,Los Angeles CA,0.008742,699.5272244361786,0.00104904
Los Angeles CA,Wyoming,0.069929,852.4723635852084,0.008391480000000002
Rest of VA,Baltimore MD,0.112245,220.67030110861444,0.0134694
Columbus OH,Seattle WA,4.4e-05,2013.142487491942,5.279999999999973e-06
North Dakota,South Dakota,0.144903,205.5432456930126,0.017388360000000002
Rest of OH,Denver CO,2.813377,1239.3256824040875,0.3376052400000001
Salt Lake City UT,Rest of AZ,0.001191,613.9186833105277,0.00014291999999999997
Rest of OH,Columbus OH,0.000418,110.16293035165738,5.0159999999999696e-05
Seattle WA,Detroit MI,0.081878,1938.2326692063652,0.009825360000000002
Rest of NH,Vermont,0.532167,3223.3853545091765,0.06386003999999999
Rest of MO,Rest of CA,0.984755,738.4771457438897,0.1181706
Rest of DE,Baltimore MD,0.023083,4016.667416021304,0.00276996
Houston TX,Austin TX,3.620041,146.72990195638008,0.43440492
Rest of NY,Maine,0.045395,426.21267908326246,0.005447400000000001
Los Angeles CA,Rest of AL,0.515575,1918.65896170334,0.06186899999999998
Rest of NC,Columbus OH,2.415766,284.3618311637041,0.28989191999999997
Houston TX,Rest of OH,0.014609,1102.2428435845657,0.00175308
Tucson AZ,Rest of TN,6.7e-05,5951.819818137855,8.03999999999999e-06
Rest of IN,Rest of IL,0.002076,8554.043019722845,0.00024912
Rest of WA,Corpus Christi TX,0.002851,10438.967346157448,0.00034212
San Francisco CA,Rest of TX,0.808312,1252.6624438344927,0.09699743999999999
Charleston SC,Indianapolis IN,0.002309,593.0460211767348,0.00027707999999999986
Houston TX,San Antonio TX,0.032611,189.66169182304887,0.00391332
Miami FL,Atlanta GA,0.029753,604.2520661934349,0.0035703600000000003
Grand Rapids MI,North Dakota,0.325378,791.4054189194181,0.03904536
Tampa FL,Detroit MI,0.11397,991.7988301019782,0.0136764
Rest of UT,Rest of NC,0.059173,2717.59748580512,0.00710076
Baltimore MD,Rest of CT,15.089745,438.7436372206971,1.8107694
Rest of TX,Rest of IN,57.995212,9186.144122932854,6.9594254399999995
San Francisco CA,Rest of OR,0.075204,321.8412225122945,0.00902448
Miami FL,Mississippi,0.002288,758.9514378365546,0.0002745599999999999
Seattle WA,San Francisco CA,0.258228,678.1684977716295,0.03098736
Los Angeles CA,Rest of CO,0.082878,817.0217416077743,0.009945359999999999
Nashville TN,Rest of TX,3.16435,783.9372265094257,0.37972200000000006
North Dakota,Detroit MI,0.002363,929.3226470747744,0.00028356
New Mexico,Greenville SC,0.007579,1340.1707147785771,0.00090948
Rest of WI,New Mexico,1.665161,1131.1489234110834,0.19981931999999997
Rest of IL,Tulsa OK,6.988828,594.4991222635272,0.8386593599999999
Houston TX,Corpus Christi TX,1.221278,184.7714703749922,0.14655336
Rochester NY,Rest of UT,0.016823,3018.487966543262,0.00201876
Orlando FL,Miami FL,0.017417,205.20581212847236,0.002090039999999999
Indianapolis IN,Rest of NC,2.010078,362.3979422915035,0.24120935999999998
Orlando FL,Rest of FL,0.063807,136.2231706088117,0.007656839999999999
Rest of DE,Salt Lake City UT,0.97763,5204.533253231288,0.1173156
Indianapolis IN,Greenville SC,0.156572,397.2335877464822,0.01878864
Houston TX,Rest of CO,0.000822,823.9768891388853,9.863999999999994e-05
Houston TX,Rest of TX,0.003781,427.8731791669677,0.0004537199999999998
Rest of TN,Knoxville TN,0.002994,4728.527061334567,0.00035928
Rest of GA,Nashville TN,2.80893,4098.23969258466,0.33707159999999997
Rest of AZ,North Dakota,0.004481,1196.9757714966197,0.0005377199999999998
Rest of IN,Charleston SC,0.007552,8958.9455881555,0.0009062399999999999
Rest of KY,Greenville SC,2.987384,200.5465076799449,0.35848608
Birmingham AL,Rest of GA,2.815177,4222.583222532063,0.33782123999999997
Salt Lake City UT,Rest of OR,0.022595,593.059923304269,0.0027113999999999997
Houston TX,Rest of PA,0.861828,625.8173050214488,0.10341936000000002
San Antonio TX,Raleigh-Durham NC,0.000322,1229.1868290540529,3.864e-05
Atlanta GA,Savannah GA,0.00069,712.9475231519264,8.279999999999986e-05
North Dakota,Rest of MN,58.722619,662.2201999305893,7.046714280000001
Los Angeles CA,Seattle WA,6.754162,958.877145712779,0.81049944
Salt Lake City UT,San Diego CA,0.422797,627.0052194903831,0.05073564
Rest of MI,Fort Wayne IN,13.875295,585.0604808581668,1.6650354
Rest of KY,Austin TX,0.14119,1006.0700084819314,0.0169428
Charleston SC,Fort Wayne IN,0.000621,639.7861390202023,7.451999999999988e-05
Tulsa OK,Rest of KY,0.004079,745.7104156149429,0.00048948
Rest of CA,Sacramento CA,0.00034,2153.650710624539,4.079999999999996e-05
Rest of VA,Rest of MI,1.669411,213.07199973320053,0.20032932
Wichita KS,Rest of SC,8.1e-05,854.7735214858559,9.719999999999978e-06
West Virginia,Nashville TN,0.11885,363.5632138029888,0.014262
Rest of IL,Mississippi,0.001662,616.8604038242245,0.00019943999999999995
Charleston SC,Rochester NY,0.069416,726.2303949458247,0.008329920000000001
Rest of MN,Detroit MI,9.825292,793.8773999939593,1.1790350399999996
Vermont,Birmingham AL,0.006127,1077.1671407792317,0.00073524
Rest of NH,Orlando FL,0.007176,4323.642687430708,0.0008611200000000002
Greenville SC,New Mexico,0.255761,1340.1707147785771,0.030691320000000005
Seattle WA,Los Angeles CA,0.012094,958.877145712779,0.00145128
Rest of CT,Hartford CT,0.000716,706.5112430838814,8.591999999999988e-05
Detroit MI,Dayton OH,0.00021,187.32705738178504,2.519999999999956e-05
Rest of KS,Rest of PA,2.873205,809.722393057371,0.3447846
Rest of AL,Austin TX,0.168804,755.1894846289588,0.02025648
Los Angeles CA,Phoenix AZ,14.056207,357.5260967036149,1.68674484
Arkansas,Houston TX,0.011725,412.1357361921312,0.0014069999999999996
Los Angeles CA,Rest of CO,0.213662,817.0217416077743,0.02563944
Milwaukee WI,Rest of IL,7.6e-05,90.4164727352402,9.119999999998996e-06
Sacramento CA,Columbus OH,0.000103,2050.1483203816806,1.2359999999999966e-05
Tucson AZ,Rest of PA,0.193964,1511.3372542236698,0.023275679999999997
Rest of FL,Vermont,0.107452,1137.1840440464769,0.012894240000000001
Rest of TX,San Antonio TX,17.76484,349.7388636807603,2.1317808
Miami FL,Rest of GA,0.02373,4330.763959865669,0.0028476
San Diego CA,Richmond VA,0.853156,7459.223312466671,0.10237871999999999
Savannah GA,Orlando FL,0.906901,1029.3079697893745,0.10882811999999999
Rest of IN,Rest of TX,7.867577,9186.144122932854,0.9441092400000001
Rest of NC,North Dakota,0.011251,1261.3589035845746,0.0013501200000000002
Iowa,Denver CO,11.68871,630.7628931832895,1.4026452
Montana,Tulsa OK,0.018156,1044.1225516504155,0.00217872
Rest of OH,Houston TX,20.652542,1102.2428435845657,2.47830504
Houston TX,Austin TX,0.008442,146.72990195638008,0.0010130399999999996
Seattle WA,New Mexico,0.142957,1233.8612079555014,0.017154840000000005
Rest of MA,Houston TX,0.074589,1423.256144306615,0.008950679999999999
Los Angeles CA,Rest of SC,0.213274,2031.5797248239528,0.025592879999999995
Richmond VA,Rest of NC,0.000447,9444.332958054069,5.3639999999999995e-05
Atlanta GA,Phoenix AZ,1.610582,1591.9339872904393,0.19326983999999997
Savannah GA,Raleigh-Durham NC,0.010045,521.9470669205772,0.0012054000000000001
San Diego CA,Houston TX,0.983097,1304.1628312413038,0.11797164
Rest of TX,Mobile AL,0.001049,8390.426872328937,0.00012587999999999998
Columbus OH,Miami FL,0.004605,991.119936235354,0.0005526
San Diego CA,Rest of MO,0.29214,1522.0075479297134,0.03505679999999999
Rest of CO,Seattle WA,0.110899,1069.3612331119714,0.01330788
Houston TX,Seattle WA,0.005742,1890.5693196303328,0.0006890400000000001
Fresno CA,Los Angeles CA,502.720248,204.4711895335981,60.32642976000002
Rochester NY,Detroit MI,0.178318,282.0950910743099,0.02139816
Charleston SC,Atlanta GA,0.016028,265.9836115921425,0.0019233600000000005
Rest of KS,Denver CO,8.580592,433.2223912635756,1.02967104
San Diego CA,Los Angeles CA,0.108658,111.09265847222484,0.01303896
Beaumont TX,Houston TX,0.126296,79.35966232709066,0.015155519999999997
Rest of NY,Greenville SC,0.014157,616.4069994795816,0.0016988399999999999
Detroit MI,Rest of IL,21.536857,236.835597498944,2.5844228399999998
San Francisco CA,Mississippi,0.015882,1865.233022123486,0.00190584
Rest of NC,Arkansas,1.876652,617.174763297252,0.22519824000000002
Montana,Miami FL,0.174974,2189.526425655861,0.020996880000000002
Detroit MI,Nashville TN,0.156845,470.0874332882186,0.018821400000000002
Rest of WA,Los Angeles CA,0.225832,9183.701550315938,0.027099840000000004
Mobile AL,Birmingham AL,0.154155,9119.73903241901,0.018498599999999997
Dayton OH,Los Angeles CA,0.030609,1914.17935143361,0.00367308
Baltimore MD,Rest of NY,0.205744,174.331788278789,0.02468928
Maine,Wichita KS,0.046826,1563.249843435348,0.005619119999999999
North Dakota,Rest of OR,0.033538,1158.432945055052,0.004024559999999999
Rest of CO,Vermont,0.155896,1705.1139040983105,0.018707519999999995
Rest of WA,Nashville TN,0.00038,10862.973109774755,4.56e-05
Rest of NH,Rest of NY,0.085816,3441.2560830181574,0.010297919999999999
Rest of CO,San Francisco CA,0.001861,959.1913130819868,0.00022332000000000002
Rest of IL,Beaumont TX,5.165663,882.8400409887097,0.6198795600000001
Rest of KS,Detroit MI,0.018113,793.8773999939593,0.00217356
Denver CO,Rest of UT,4.717818,3862.253365290029,0.5661381600000001
Rest of NC,Rest of TX,2.666862,1076.5866195691972,0.32002344
Austin TX,Rest of LA,0.057928,900.6949953583152,0.006951359999999999
Tampa FL,Maine,0.195732,1433.0456430964446,0.02348784
North Dakota,Fresno CA,0.010166,1235.128275611722,0.0012199199999999996
New Mexico,Rest of WA,0.002296,9878.700804368304,0.00027551999999999996
Atlanta GA,Grand Rapids MI,0.1486,639.3020326002861,0.017832
Mississippi,Rest of MN,0.040303,558.8324897111747,0.00483636
Iowa,Richmond VA,5.8e-05,8905.333228613843,6.959999999999995e-06
Rochester NY,Baltimore MD,0.012047,271.892069926756,0.0014456400000000002
Savannah GA,Columbus OH,0.020536,292.8916858810261,0.0024643200000000003
Miami FL,Richmond VA,0.009258,9316.860264088476,0.0011109599999999996
Rest of IN,Rest of WI,1.377217,8473.321355460877,0.16526603999999998
Oklahoma City OK,Rest of NY,2.157611,1330.1480582722,0.25891332
Mobile AL,Corpus Christi TX,0.121054,8387.362669101229,0.014526479999999998
Mississippi,Rest of KS,0.027479,558.8324897111747,0.0032974799999999998
Maine,Hartford CT,0.016497,333.0037215710016,0.00197964
Rest of NH,Rest of NY,0.011605,3441.2560830181574,0.0013926000000000001
Rest of WA,Denver CO,0.498936,9853.383380096417,0.05987232
Atlanta GA,Rest of TN,0.412473,4851.511364567991,0.04949676
Idaho,Tucson AZ,0.000505,804.922264947086,6.059999999999999e-05
Savannah GA,Rest of TN,0.045377,4225.173451629304,0.00544524
Idaho,Rest of FL,0.879667,1951.756146997064,0.10556004000000004
Rest of TX,New Mexico,0.063276,318.5509612426175,0.007593120000000001
Rest of IN,Rest of TX,0.282759,9186.144122932854,0.033931079999999995
Tucson AZ,Rest of MN,0.257861,885.5297207622293,0.03094332
Richmond VA,Rest of VA,0.000144,9716.910351727494,1.728e-05
Tucson AZ,Phoenix AZ,3.5e-05,105.9348761349123,4.199999999999701e-06
Houston TX,Seattle WA,0.029887,1890.5693196303328,0.003586440000000001
Rest of TX,San Antonio TX,0.866518,349.7388636807603,0.10398216
Rest of AL,Iowa,11.207482,821.0408009836162,1.34489784
Rest of AL,Salt Lake City UT,6.911015,1601.7089922527157,0.8293217999999999
Laredo TX,San Diego CA,2.102015,1115.2346274258755,0.25224180000000007
Phoenix AZ,Sacramento CA,4.273043,634.7755647495418,0.5127651599999999
Rest of MN,North Dakota,24.30432,662.2201999305893,2.9165184
Rest of PA,Cleveland OH,165.237939,684.6641303682813,19.82855268
San Francisco CA,Rest of NC,0.016556,2250.2171668706324,0.0019867200000000004
Fort Wayne IN,Cleveland OH,5.2e-05,181.6174581107348,6.239999999999532e-06
Rest of IN,Rest of LA,10.825726,8895.557708199882,1.29908712
Sacramento CA,Salt Lake City UT,0.032911,533.4779159059949,0.00394932
Hartford CT,Tampa FL,0.121855,1100.060882346363,0.014622600000000001
Los Angeles CA,Rest of AL,0.460718,1918.65896170334,0.05528615999999999
Rest of LA,North Dakota,0.018101,1228.1148655898608,0.00217212
Austin TX,Houston TX,0.030366,146.72990195638008,0.0036439199999999997
Rest of MD,Grand Rapids MI,0.10595,527.717933262652,0.012714
Oklahoma City OK,Houston TX,0.039696,413.1837406919562,0.004763519999999999
Miami FL,Rest of IL,0.029818,1179.297042298973,0.00357816
Detroit MI,Wyoming,0.075258,1244.3461259070934,0.009030960000000001
Rest of OH,Rest of MI,68.583502,395.6588391742984,8.230020239999998
Rest of SC,Nashville TN,0.33292,264.0965404515538,0.03995039999999999
Rest of VA,Baltimore MD,0.013824,220.67030110861444,0.0016588799999999997
Rest of NC,Savannah GA,0.584962,519.9611218519426,0.07019543999999998
Austin TX,Los Angeles CA,0.402464,1227.168514634154,0.048295679999999994
Rest of MI,Cleveland OH,0.000766,406.4107372902684,9.191999999999982e-05
Charleston SC,Rest of FL,0.002657,239.6591934894211,0.00031883999999999987
Mississippi,Columbus OH,0.080556,610.3200354083538,0.00966672
Baton Rouge LA,Arkansas,17.806155,753.8066891159831,2.1367386
Rest of LA,Birmingham AL,20.406901,223.2632766114828,2.44882812
North Dakota,Richmond VA,0.004579,8639.339088918176,0.00054948
Rest of MO,Fresno CA,0.07492,1583.674724204761,0.0089904
Rest of CO,Los Angeles CA,0.430888,817.0217416077743,0.051706560000000006
Salt Lake City UT,Rest of MD,4.2e-05,1852.2238953584035,5.039999999999971e-06
Fort Wayne IN,Tulsa OK,35.226954,677.7393073079554,4.22723448
North Dakota,Rest of KS,0.701736,662.2201999305893,0.08420832
Rest of WA,Grand Rapids MI,0.002671,10612.637301135244,0.00032052000000000003
Mississippi,Los Angeles CA,0.121114,1642.1676788303282,0.01453368
Los Angeles CA,Rest of GA,0.091452,5375.795934739215,0.010974240000000001
Cleveland OH,San Diego CA,0.056407,2034.654458326999,0.00676884
Detroit MI,New Mexico,0.000736,1349.155104868983,8.831999999999994e-05
Rochester NY,North Dakota,0.019703,1152.5892122338582,0.00236436
San Diego CA,Los Angeles CA,0.005758,111.09265847222484,0.0006909599999999993
Cleveland OH,Rest of CO,2.965745,1233.0641059876514,0.3558894
San Diego CA,Los Angeles CA,0.001149,111.09265847222484,0.00013787999999999946
Atlanta GA,Mobile AL,0.001232,9254.651063257286,0.00014784
Seattle WA,Rest of GA,0.003601,4736.026317022335,0.0004321200000000001
Rest of NY,Rest of IN,0.186533,8315.929618063228,0.022383959999999994
Rest of UT,Grand Rapids MI,0.272169,3231.5839974772957,0.03266028
Dayton OH,Miami FL,0.094929,991.118263753546,0.011391479999999999
Milwaukee WI,Rest of SC,0.888007,654.570932946714,0.10656083999999998
Corpus Christi TX,Houston TX,0.008164,184.7714703749922,0.0009796799999999997
Greenville SC,Rest of MA,0.100356,616.4069994795816,0.012042719999999998
Savannah GA,Miami FL,0.069636,1216.200129359304,0.008356319999999999
Phoenix AZ,Sacramento CA,9.387347,634.7755647495418,1.12648164
San Francisco CA,Rest of FL,1.762247,2323.739400311956,0.21146964
Los Angeles CA,Atlanta GA,0.485328,1936.6550345958728,0.05823935999999999
Dayton OH,Columbus OH,0.00086,64.8535222601554,0.00010319999999999942
Maine,Detroit MI,0.36253,743.1107315599731,0.0435036
Columbus OH,Sacramento CA,0.022879,2050.1483203816806,0.00274548
Rest of GA,Savannah GA,13.833514,3486.7605394923075,1.6600216799999998
Mississippi,Rest of NY,1.101679,1024.2704037357878,0.13220147999999998
Sacramento CA,Los Angeles CA,0.262222,360.9833577453937,0.03146664
Greenville SC,Laredo TX,0.075187,1130.438617711235,0.009022440000000003
Beaumont TX,Houston TX,0.212262,79.35966232709066,0.02547144
Miami FL,Los Angeles CA,28.241349,2338.956631759453,3.38896188
North Dakota,Oklahoma City OK,0.013173,852.6549145133548,0.0015807599999999998
Rochester NY,Atlanta GA,0.007258,745.1327738533336,0.0008709599999999999
Indianapolis IN,Hartford CT,1.839039,719.0548599895575,0.22068468000000002
Detroit MI,Dayton OH,0.000671,187.32705738178504,8.051999999999983e-05
Arkansas,Nashville TN,43.571236,325.83141299433225,5.22854832
Rest of PA,Rest of NY,0.002267,869.7838427947365,0.00027204
Rest of SC,Los Angeles CA,0.00567,2031.5797248239528,0.0006803999999999998
San Francisco CA,Rest of MI,0.022078,2573.307425007661,0.0026493600000000003
Rest of CT,Savannah GA,0.002187,601.162660417753,0.00026244
